Sun:  Spectral Radiance,
Wavelength (nm),Solar Radiance
,(watts/m2-sr-nm)
898.0,13733.823529411764
899.9999999999999,13467.647058823528
902.0,13111.764705882353
904.0,13654.411764705883
905.9999999999999,13494.117647058823
908.0,13272.05882352941
909.9999999999999,13111.764705882353
912.0,13186.764705882353
913.9999999999999,13339.705882352942
915.9999999999999,13241.176470588234
918.0,13163.235294117647
919.9999999999999,13100.0
922.0,12691.176470588234
923.9999999999999,12625.0
926.0,12664.705882352939
928.0,12895.588235294117
929.9999999999999,12760.29411764706
932.0,12722.05882352941
933.9999999999999,12707.352941176468
936.0,12569.117647058823
937.9999999999999,12617.647058823528
939.9999999999999,12408.823529411764
942.0,12132.352941176468
943.9999999999999,12241.176470588236
946.0,12316.176470588236
947.9999999999999,12363.235294117647
950.0,12307.352941176468
951.9999999999999,12230.882352941175
954.0,11882.352941176472
956.0,11885.29411764706
957.9999999999999,12041.176470588234
959.9999999999999,11986.764705882353
962.0,11895.588235294117
963.9999999999999,11783.823529411766
965.9999999999999,11686.764705882351
968.0,11719.117647058825
970.0,11704.411764705883
971.9999999999999,11670.588235294115
973.9999999999999,11492.647058823528
976.0,11507.352941176468
977.9999999999999,11439.705882352942
979.9999999999999,11391.176470588234
982.0,11417.647058823528
984.0,11320.588235294119
985.9999999999999,11266.176470588236
987.9999999999999,11198.529411764704
990.0,11089.705882352939
991.9999999999999,11127.94117647059
993.9999999999999,11111.764705882353
996.0,11066.176470588234
998.0,11044.117647058823
999.9999999999999,10998.529411764706
1002.0,10983.823529411766
1004.0,10677.941176470586
1006.0,10494.117647058823
1008.0,10786.764705882353
1010.0,10754.411764705881
1012.0,10679.411764705881
1014.0,10602.941176470586
1016.0,10498.529411764704
1018.0,10451.470588235294
1020.0,10354.411764705881
1022.0,10325.0
1024.0,10373.529411764706
1026.0,10333.823529411762
1027.9999999999998,10277.941176470586
1030.0,10201.470588235292
1032.0,10154.411764705883
1034.0,10024.999999999998
1035.9999999999998,10058.823529411766
1038.0,9958.823529411766
1040.0,9942.64705882353
1041.9999999999998,9920.588235294115
1044.0,9873.529411764706
1046.0,9705.882352941177
1048.0,9770.588235294115
1049.9999999999998,9738.235294117647
1052.0,9685.294117647056
1054.0,9630.882352941177
1055.9999999999998,9642.647058823528
1058.0,9486.764705882353
1060.0,9433.823529411762
1062.0,9467.64705882353
1064.0,9498.529411764706
1066.0,9404.411764705881
1068.0,9289.705882352942
1069.9999999999998,9177.941176470587
1072.0,9302.94117647059
1074.0,9229.411764705883
1075.9999999999998,9235.29411764706
1078.0,9223.529411764704
1080.0,9186.764705882353
1082.0,8969.117647058823
1083.9999999999998,9088.235294117645
1086.0,9129.411764705883
1088.0,8975.0
1089.9999999999998,9116.176470588236
1092.0,9057.35294117647
1094.0,8601.470588235292
1096.0,8798.529411764706
1097.9999999999998,8766.176470588232
1100.0,8885.294117647056
1102.0,8723.529411764704
1103.9999999999998,8785.29411764706
1106.0,8742.64705882353
1108.0,8700.0
1110.0,8685.29411764706
1111.9999999999998,8592.64705882353
1114.0,8594.117647058823
1116.0,8575.0
1117.9999999999998,8551.470588235294
1120.0,8442.64705882353
1122.0,8523.529411764706
1123.9999999999998,8483.823529411762
1126.0,8316.176470588236
1128.0,8382.35294117647
1130.0,8313.235294117647
1131.9999999999998,8349.999999999998
1134.0,8291.176470588232
1136.0,8320.588235294115
1137.9999999999998,8189.7058823529405
1140.0,8132.352941176471
1142.0,8133.823529411765
1144.0,8108.823529411765
1145.9999999999998,8158.823529411762
1148.0,8124.999999999998
1150.0,8072.058823529413
1151.9999999999998,8026.470588235294
1154.0,8057.352941176471
1156.0,8022.05882352941
1158.0,7992.647058823528
1159.9999999999998,7823.529411764706
1162.0,7830.882352941175
1164.0,7841.176470588235
1165.9999999999998,7798.5294117647045
1168.0,7811.764705882353
1170.0,7758.823529411762
1172.0,7816.176470588233
